"MOVIE","ACTOR","CHARACTER_NAME","TYPE","BILLING","GENDER"
"Star Trek Beyond","John Cho","Hikaru Sulu","Lead Ensemble Member","1","Male"
"Star Trek Beyond","Simon Pegg","Scotty","Lead Ensemble Member","2","Male"
"Star Trek Beyond","Chris Pine","James T. Kirk","Lead Ensemble Member","3","Male"
"Star Trek Beyond","Zachary Quinto","Commander Spock","Lead Ensemble Member","4","Male"
"Star Trek Beyond","Zoe Saldana","Lieutenant Uhura","Lead Ensemble Member","5","Female"
"Star Trek Beyond","Karl Urban","Doctor Leonard Bones McCoy","Lead Ensemble Member","6","Male"
"Star Trek Beyond","Anton Yelchin","Chekov","Lead Ensemble Member","7","Male"
"Star Trek Beyond","Idris Elba","Krall","Lead Ensemble Member","8","Male"
"Star Trek Beyond","Sofia Boutella","Jaylah","Lead Ensemble Member","9","Female"
"Star Trek Beyond","Lydia Wilson","Kalara","Supporting","10","Female"
"Star Trek Beyond","Shohreh Aghdashloo","Commodore Paris (High Command of the Federation)","Supporting","11","Female"
"Star Trek Beyond","Ashley Edner","Natalia","Supporting","12","Unknown"
"Star Trek Beyond","Joe Taslim","Manas","Supporting","13","Male"
"Star Trek Beyond","Greg Grunberg","Commodore Finnegan","Supporting","14","Unknown"
"Star Trek Beyond","Melissa Roxburgh","Ensign Syl","Supporting","15","Female"
"Star Trek Beyond","Danny Pudi","Fi'Ja","Supporting","16","Male"
"Star Trek Beyond","Deep Roy","Keenser","Supporting","17","Unknown"
"Star Trek Beyond","Bryce Soderberg","Satine","Supporting","18","Male"
"Star Trek Beyond","Doug Jung","Ben","Supporting","19","Male"
"Star Trek Beyond","Anita Brown","Tyvanna","Supporting","20","Female"
"Star Trek Beyond","Kim Kold","Zavanko","Supporting","21","Male"
"Star Trek Beyond","Shea Whigham","Teenaxi Leader","Supporting","22","Unknown"
"Star Trek Beyond","Jason Matthew Smith","Hendorff","Supporting","23","Male"
"Boo! A Madea Halloween","Tyler Perry","Madea/Joe/Brian","Leading","1","Male"
"Boo! A Madea Halloween","Cassi Davis","Aunt Bam","Supporting","2","Female"
